対象	学名	和名	科目	ID	Scientific Name	Common Name	Family Name	ID	PO:food part	EnvO	Foodon	URL_en	URL_ja	Genome	Assembly	Assembly2	Assembly3
	*Prunus persica* var. *nucipersica*	ズバイモモ	バラ科	t3760	*Prunus persica* var. *nucipersica*		Rosaceae	t3760				https://plantgarden.jp/en/list/t3760	https://plantgarden.jp/ja/list/t3760	https://plantgarden.jp/en/list/t3760/genome	https://plantgarden.jp/en/list/t3760/genome/t3760.G001		
	*Prunus persica* var. *persica*	モモ(persica)	バラ科	t3760	*Prunus persica* var. *persica*		Rosaceae	t3760				https://plantgarden.jp/en/list/t3760	https://plantgarden.jp/ja/list/t3760	https://plantgarden.jp/en/list/t3760/genome	https://plantgarden.jp/en/list/t3760/genome/t3760.G001		
	*Raphanus sativus*	ダイコン	アブラナ科	t3726	*Raphanus sativus*	Radish	Brassicaceae	t3726				https://plantgarden.jp/en/list/t3726	https://plantgarden.jp/ja/list/t3726	https://plantgarden.jp/en/list/t3726/genome	https://plantgarden.jp/en/list/t3726/genome/t3726.G001		
	*Setaria italica*	アワ	イネ科	t4555	*Setaria italica*	Foxtail millet	Poaceae	t4555				https://plantgarden.jp/en/list/t4555	https://plantgarden.jp/ja/list/t4555	https://plantgarden.jp/en/list/t4555/genome	https://plantgarden.jp/en/list/t4555/genome/t4555.G001		
	*Solanum lycopersicum*	トマト	ナス科	t4081	*Solanum lycopersicum*	Tomato	Solanaceae	t4081				https://plantgarden.jp/en/list/t4081	https://plantgarden.jp/ja/list/t4081	https://plantgarden.jp/en/list/t4081/genome	https://plantgarden.jp/en/list/t4081/genome/t4081.G001		
	*Solanum pennellii*	野生トマト	ナス科	t28526	*Solanum pennellii*	Wild tomato	Solanaceae	t28526				https://plantgarden.jp/en/list/t28526	https://plantgarden.jp/ja/list/t28526	https://plantgarden.jp/en/list/t28526/genome	https://plantgarden.jp/en/list/t28526/genome/t28526.G001		
	*Solanum tuberosum*	ジャガイモ	ナス科	t4113	*Solanum tuberosum*	Potato	Solanaceae	t4113				https://plantgarden.jp/en/list/t4113	https://plantgarden.jp/ja/list/t4113	https://plantgarden.jp/en/list/t4113/genome	https://plantgarden.jp/en/list/t4113/genome/t4113.G001		
	*Sorghum bicolor*	モロコシ	イネ科	t4558	*Sorghum bicolor*	Sorghum	Poaceae	t4558				https://plantgarden.jp/en/list/t4558	https://plantgarden.jp/ja/list/t4558	https://plantgarden.jp/en/list/t4558/genome	https://plantgarden.jp/en/list/t4558/genome/t4558.G001		
	*Thellungiella parvula*	テルギエラ	アブラナ科	t98039	*Thellungiella parvula*	Thellungiella	Brassicaceae	t98039				https://plantgarden.jp/en/list/t98039	https://plantgarden.jp/ja/list/t98039	https://plantgarden.jp/en/list/t98039/genome	https://plantgarden.jp/en/list/t98039/genome/t98039.G001		
	*Theobroma cacao*	カカオ	アオイ科	t3641	*Theobroma cacao*	Cacao	Malvaceae	t3641				https://plantgarden.jp/en/list/t3641	https://plantgarden.jp/ja/list/t3641	https://plantgarden.jp/en/list/t3641/genome	https://plantgarden.jp/en/list/t3641/genome/t3641.G001		
	*Trifolium subterraneum*	サブクローバー	マメ科	t3900	*Trifolium subterraneum*	Sub clover	Fabaceae	t3900				https://plantgarden.jp/en/list/t3900	https://plantgarden.jp/ja/list/t3900	https://plantgarden.jp/en/list/t3900/genome	https://plantgarden.jp/en/list/t3900/genome/t3900.G001		
	*Triticum aestivum*	コムギ	イネ科	t4565	*Triticum aestivum*	Wheat	Poaceae	t4565				https://plantgarden.jp/en/list/t4565	https://plantgarden.jp/ja/list/t4565	https://plantgarden.jp/en/list/t4565/genome	https://plantgarden.jp/en/list/t4565/genome/t4565.G001		
	*Vitis labruscana x Vitis vinifera*	欧米雑種ブドウ	ブドウ科	t2599122	*Vitis labruscana x Vitis vinifera*	Grape	Vitaceae	t2599122				https://plantgarden.jp/en/list/t2599122	https://plantgarden.jp/ja/list/t2599122	https://plantgarden.jp/en/list/t2599122/genome	https://plantgarden.jp/en/list/t2599122/genome/t2599122.G001		
	*Vitis vinifera*	ヨーロッパブドウ	ブドウ科	t29760	*Vitis vinifera*	Grape	Vitaceae	t29760				https://plantgarden.jp/en/list/t29760	https://plantgarden.jp/ja/list/t29760	https://plantgarden.jp/en/list/t29760/genome	https://plantgarden.jp/en/list/t29760/genome/t29760.G001		
	*Zea mays*	トウモロコシ	イネ科	t4577	*Zea mays*	Maize	Poaceae	t4577				https://plantgarden.jp/en/list/t4577	https://plantgarden.jp/ja/list/t4577	https://plantgarden.jp/en/list/t4577/genome	https://plantgarden.jp/en/list/t4577/genome/t4577.G001		
	*Zea mays* var. *mays*	トウモロコシ(mays)	イネ科	t4577	*Zea mays* var. *mays*		Poaceae	t4577				https://plantgarden.jp/en/list/t4577	https://plantgarden.jp/ja/list/t4577	https://plantgarden.jp/en/list/t4577/genome	https://plantgarden.jp/en/list/t4577/genome/t4577.G001		
	*Zoysia japonica*	シバ	イネ科	t309978	*Zoysia japonica*	Japanese lawn grass	Poaceae	t309978				https://plantgarden.jp/en/list/t309978	https://plantgarden.jp/ja/list/t309978	https://plantgarden.jp/en/list/t309978/genome	https://plantgarden.jp/en/list/t309978/genome/t309978.G001		
